year,export,import
60,2061.3,1844.1
61,2997.4,2514.3
62,4505,3794.3
63,5684,6973.4
64,5353.6,5961.9
65,8218,7612.7
66,9406.3,8533.8
67,12755.3,11046.7
68,16168.5,14798.2
69,19878.2,19760.3
70,22686.4,21235.4
71,22296.7,18922.6
72,25206.9,20315.7
73,30580.1,21993.9
74,30818.7,20140.5
75,39930.5,24194.9
76,53753.7,35000.7
77,60784.1,49712.7
78,66434.7,52314.4
79,67424.6,54786
80,76562.6,63142
81,82122.2,72352.5
82,85956.6,77392.7
83,94300.4,85698
84,113342,104011.6
85,117581,102922.4
86,124170.2,114955.4
87,112595.4,105229.8
88,123733.3,111196.1
89,151949.8,140732
90,126608.592,109585.639
91,135769.775,115112.835
92,151334.45,130244.108
93,183631.186,171547.039
94,199752.569,185430.191
95,225904.198,206442.269
96,248669.973,222981.666
97,257754.83,244197.197
98,205201.752,177132.536
99,277352.073,255745.764
100,312182.4,287315.902
101,305314.663,276466.442
102,310865.636,277384.288
103,319413.274,281095.615
104,284433.978,236380.483
105,279174.656,229199.459
106,315486.658,257199.59
107,334007.338,284791.673
108,329157.32,285651.45
109,345125.944,286147.643
110,446371.191,381957.539
111,479415.23,428082.522
